feature,importance,target
lineup_tt_bb,0.007816801778972149,HR
HR_last10,0.007790337782353163,HR
pitches_std,0.007728792726993561,HR
pitches_per_BF_std,0.007725488860160112,HR
pitcher_k_rate_vs_hand_last10_L,0.007698468863964081,HR
lineup_tt_h,0.007692825980484486,HR
matchup_bb,0.00768674910068512,HR
p_tt_h,0.0076715038157999516,HR
team_bb_rate_vs_hand_std,0.0076616001315414906,HR
pitcher_bb_rate_vs_hand_last10_L,0.007656849455088377,HR
K_last14,0.007616925053298473,HR
pitcher_h_rate_vs_hand_std_R,0.0076163774356245995,HR
p_tt_bb,0.007558328099548817,HR
pitcher_hr_rate_vs_hand_last10_R,0.007534382864832878,HR
BB_last30,0.007339809089899063,HR
pitcher_bb_rate_vs_hand_std_R,0.007321187760680914,HR
avg_velocity_std,0.00729384133592248,HR
park_factor,0.0072862510569393635,HR
BB_rate_last10,0.007248559966683388,HR
starter_pct_last5,0.007248470559716225,HR
BB_rate_last21,0.0071739498525857925,HR
IP_last14,0.007136463653296232,HR
lineup_tt_hr,0.007112370803952217,HR
team_h_rate_vs_hand_last10,0.007096797693520784,HR
pitcher_h_rate_vs_hand_last10_R,0.0070688012056052685,HR
BF_per_IP_last10,0.007062269374728203,HR
outs_last3,0.007024907972663641,HR
matchup_h,0.007011044304817915,HR
HR_rate_last14,0.006992034614086151,HR
BB_std,0.006958279758691788,HR
team_bb_rate_vs_hand_last10,0.006897992454469204,HR
K_std,0.00686366343870759,HR
HR_last14,0.006857055705040693,HR
H_rate_last21,0.006831275299191475,HR
K_rate_last14,0.006788551341742277,HR
team_h_rate_vs_hand_std,0.006767495535314083,HR
pitcher_h_rate_vs_hand_std_L,0.006741753313690424,HR
H_rate_last7,0.0067201401107013226,HR
pitcher_k_rate_vs_hand_std_R,0.006673819851130247,HR
BB_rate_last7,0.0066083986312150955,HR
lineup_tt_k,0.006590773351490498,HR
BF_per_IP_std,0.006442406214773655,HR
K_last7,0.0064267744310200214,HR
H_rate_std,0.006289595738053322,HR
pitcher_bb_rate_vs_hand_std_L,0.005990557372570038,HR
outs_last14,0.005808472633361816,HR
pitches_per_IP_std,0.005772812757641077,HR
BB_rate_last14,0.00565731804817915,HR
HR_rate_std,0.005624574609100819,HR
HR_rate_last30,0.005443257745355368,HR
pitcher_h_rate_vs_hand_last10_L,0.005264244042336941,HR
starter_pct_last10,0.005207179579883814,HR
pitcher_hr_rate_vs_hand_std_L,0.005111153237521648,HR
H_last30,0.005004583392292261,HR
BB_rate_last30,0.00497543765231967,HR
BB_last7,0.004397261887788773,HR
BB_rate_std,0.004361349157989025,HR
H_rate_last10,0.0042297691106796265,HR
H_rate_last14,0.0036393506452441216,HR
K_rate_last21,0.003295689821243286,HR
BB_last21,0.0024724288377910852,HR
outs_last7,0.001949995057657361,HR
H_rate_last30,0.0,HR
K_last30,0.0,HR
outs_std,0.0,HR
outs_last30,0.0,HR
pitches_last30,0.0,HR
outs_last21,0.0,HR
outs_last10,0.09649286419153214,H
IP_last7,0.06919250637292862,H
IP_last10,0.06553898006677628,H
BF_last7,0.038851890712976456,H
BF_last14,0.02487737126648426,H
outs_last7,0.022853417322039604,H
pitches_last10,0.01774434745311737,H
BF_last10,0.01769748516380787,H
p_tt_k,0.016902191564440727,H
BF_last3,0.013758030720055103,H
H_last10,0.013587132096290588,H
pitches_last3,0.012755307368934155,H
IP_last21,0.012602811679244041,H
BF_last21,0.010248241014778614,H
pitches_last14,0.009694683365523815,H
max_ip_last10,0.009609300643205643,H
K_rate_last30,0.009556344710290432,H
K_rate_last10,0.008534811437129974,H
days_rest,0.008268200792372227,H
IP_std,0.007933908142149448,H
pitches_last7,0.0077052307315170765,H
BB_last30,0.007302267476916313,H
max_ip_last5,0.0071011693216860294,H
avg_velocity_last10,0.006884320173412561,H
K_rate_last14,0.006858909968286753,H
avg_velocity_std,0.006767326034605503,H
matchup_bb,0.006759089883416891,H
IP_last14,0.0067397658713161945,H
pitcher_k_rate_vs_hand_last10_L,0.006603115703910589,H
K_last21,0.006565834861248732,H
pitcher_k_rate_vs_hand_std_L,0.006493495777249336,H
BF_last30,0.006402723956853151,H
K_last14,0.006380987819284201,H
K_rate_std,0.006277500651776791,H
K_last7,0.006199803203344345,H
K_rate_last21,0.006107114255428314,H
H_std,0.005998949520289898,H
BB_last14,0.005976662039756775,H
BB_last10,0.005968057084828615,H
matchup_hr,0.005933742970228195,H
outs_last3,0.00585951330140233,H
outs_last14,0.0058039710856974125,H
K_rate_last7,0.005797768011689186,H
outs_std,0.005766775459051132,H
p_tt_bb,0.0057224975898861885,H
avg_velocity_last7,0.005635574925690889,H
matchup_h,0.005604323465377092,H
pitcher_h_rate_vs_hand_std_R,0.005534513853490353,H
pitcher_h_rate_vs_hand_last10_L,0.00545863900333643,H
HR_last7,0.005401400849223137,H
BB_last21,0.005350134335458279,H
outs_last30,0.005312629044055939,H
IP_last30,0.00527307391166687,H
pitcher_h_rate_vs_hand_std_L,0.005242334213107824,H
pitcher_bb_rate_vs_hand_std_L,0.005234754644334316,H
BB_std,0.005065919831395149,H
park_factor,0.005041530355811119,H
starter_pct_last10,0.005035875830799341,H
K_last30,0.00499818567186594,H
BB_rate_last10,0.004977903328835964,H
team_k_rate_vs_hand_last10,0.0049506789073348045,H
pitcher_bb_rate_vs_hand_last10_R,0.004914292600005865,H
H_last14,0.004876435734331608,H
H_last7,0.004856769926846027,H
BB_rate_last30,0.004852465353906155,H
team_hr_rate_vs_hand_std,0.004838161636143923,H
BB_rate_std,0.004802202805876732,H
pitcher_hr_rate_vs_hand_last10_R,0.00477844662964344,H
BB_rate_last21,0.0047221421264112,H
p_tt_hr,0.004720550030469894,H
H_rate_last21,0.004690184257924557,H
pitcher_k_rate_vs_hand_last10_R,0.004683276638388634,H
HR_rate_last7,0.004676035139709711,H
pitcher_h_rate_vs_hand_last10_R,0.004668517038226128,H
team_hr_rate_vs_hand_last10,0.0046409303322434425,H
pitches_per_IP_last10,0.004622498992830515,H
pitches_std,0.0046205888502299786,H
pitcher_hr_rate_vs_hand_last10_L,0.004612164106220007,H
pitches_last21,0.004590267315506935,H
HR_rate_last14,0.0045897806994616985,H
HR_last14,0.004570633638650179,H
HR_rate_last10,0.00452073011547327,H
pitcher_bb_rate_vs_hand_last10_L,0.004511620383709669,H
BF_std,0.004494694992899895,H
team_bb_rate_vs_hand_last10,0.00449067447334528,H
pitches_per_BF_std,0.004489724989980459,H
lineup_tt_hr,0.004483855329453945,H
H_rate_last10,0.004480447620153427,H
HR_last21,0.004474989604204893,H
BB_rate_last14,0.004471351858228445,H
matchup_k,0.0044441670179367065,H
lineup_tt_bb,0.00440678047016263,H
pitcher_bb_rate_vs_hand_std_R,0.004381808917969465,H
team_bb_rate_vs_hand_std,0.004366002511233091,H
lineup_tt_h,0.004335959907621145,H
BF_per_IP_std,0.004333538003265858,H
HR_rate_last30,0.004262122791260481,H
p_tt_h,0.004247805569320917,H
pitcher_hr_rate_vs_hand_std_R,0.0042442032136023045,H
team_h_rate_vs_hand_std,0.004234977997839451,H
pitcher_hr_rate_vs_hand_std_L,0.004232838284224272,H
lineup_tt_k,0.004188234452158213,H
BB_last7,0.004150159191340208,H
pitcher_k_rate_vs_hand_std_R,0.004149702377617359,H
HR_rate_std,0.003972940146923065,H
BF_per_IP_last10,0.003966334275901318,H
K_last10,0.003947216551750898,H
pitches_per_BF_last10,0.0038862968795001507,H
avg_spin_std,0.003859736490994692,H
H_rate_last14,0.003855271963402629,H
K_std,0.0038205599412322044,H
H_rate_std,0.0038173471111804247,H
pitches_per_IP_std,0.0037912328261882067,H
HR_last10,0.0037181838415563107,H
team_h_rate_vs_hand_last10,0.0037124697118997574,H
HR_rate_last21,0.003662514965981245,H
starter_pct_last5,0.00364512181840837,H
H_rate_last7,0.003593229688704014,H
HR_std,0.0035413182340562344,H
team_k_rate_vs_hand_std,0.003519030287861824,H
BB_rate_last7,0.0035068048164248466,H
H_rate_last30,0.0033288474660366774,H
pitches_last30,0.0029823575168848038,H
H_last21,0.0024395205546170473,H
H_last30,0.0019172091269865632,H
HR_last30,0.0,H
outs_last21,0.0,H
BF_last7,0.09885179996490479,IP
BF_last21,0.08737311512231827,IP
BF_last3,0.06038996949791908,IP
BF_last14,0.055949702858924866,IP
outs_last10,0.04603361338376999,IP
outs_last3,0.0364648662507534,IP
pitches_last7,0.0297247301787138,IP
outs_last21,0.029643036425113678,IP
pitches_last10,0.02956586889922619,IP
pitches_last3,0.02450866438448429,IP
IP_std,0.019223036244511604,IP
BF_last30,0.01880449615418911,IP
pitches_last21,0.018713513389229774,IP
IP_last7,0.017634795978665352,IP
outs_last7,0.016391459852457047,IP
IP_last21,0.016386790201067924,IP
IP_last10,0.015184007585048676,IP
outs_last14,0.013072061352431774,IP
IP_last14,0.012508893385529518,IP
IP_last30,0.011255844496190548,IP
K_last21,0.010409391485154629,IP
days_rest,0.01010032370686531,IP
K_last30,0.008138238452374935,IP
max_ip_last10,0.005951204802840948,IP
HR_rate_last14,0.005500631872564554,IP
BF_std,0.005289602559059858,IP
HR_last30,0.005252731963992119,IP
K_std,0.0052500758320093155,IP
p_tt_bb,0.005072901025414467,IP
K_last14,0.00469173863530159,IP
pitcher_h_rate_vs_hand_std_R,0.004674328025430441,IP
max_ip_last5,0.004644597414880991,IP
H_last30,0.004511543083935976,IP
HR_rate_std,0.004494929686188698,IP
outs_std,0.004444295074790716,IP
matchup_bb,0.004328603390604258,IP
BB_std,0.00428303936496377,IP
H_last21,0.004184124059975147,IP
H_std,0.004087467212229967,IP
HR_last10,0.003928154706954956,IP
p_tt_k,0.003923184238374233,IP
H_last14,0.003859498305246234,IP
H_last7,0.0038343979977071285,IP
K_rate_last21,0.0037342244759202003,IP
H_last10,0.0037200474180281162,IP
BF_per_IP_last10,0.0035273281391710043,IP
HR_std,0.0034806483890861273,IP
HR_last14,0.0034619432408362627,IP
pitcher_hr_rate_vs_hand_std_L,0.003429277567192912,IP
HR_rate_last21,0.0034215410705655813,IP
pitcher_hr_rate_vs_hand_last10_R,0.0033646896481513977,IP
pitcher_hr_rate_vs_hand_std_R,0.003327916143462062,IP
pitcher_bb_rate_vs_hand_last10_L,0.003326037432998419,IP
starter_pct_last5,0.0032922495156526566,IP
BB_last7,0.0032081985846161842,IP
H_rate_std,0.0031928420066833496,IP
HR_rate_last7,0.0031297134701162577,IP
pitcher_h_rate_vs_hand_std_L,0.0031288936734199524,IP
pitcher_k_rate_vs_hand_last10_R,0.0030564963817596436,IP
pitches_last14,0.003043954260647297,IP
matchup_hr,0.0030331630259752274,IP
HR_rate_last30,0.0030211906414479017,IP
pitcher_k_rate_vs_hand_last10_L,0.002986656967550516,IP
pitches_per_BF_last10,0.00297761638648808,IP
K_last10,0.0029681497253477573,IP
matchup_k,0.0029628085903823376,IP
team_bb_rate_vs_hand_std,0.0029339699540287256,IP
HR_last7,0.002898472361266613,IP
p_tt_h,0.0028957491740584373,IP
pitches_per_IP_last10,0.0028901833575218916,IP
avg_spin_std,0.0028193651232868433,IP
p_tt_hr,0.0028155765030533075,IP
BB_rate_last10,0.0028033675625920296,IP
HR_last21,0.0028008425142616034,IP
pitcher_hr_rate_vs_hand_last10_L,0.002799597568809986,IP
K_rate_last14,0.0027819860260933638,IP
avg_velocity_last7,0.0027703086379915476,IP
BB_rate_last14,0.0027686073444783688,IP
pitcher_h_rate_vs_hand_last10_L,0.0027415903750807047,IP
pitches_per_IP_std,0.0027278403285890818,IP
team_hr_rate_vs_hand_std,0.002718819770962,IP
H_rate_last10,0.002711940323933959,IP
pitcher_k_rate_vs_hand_std_L,0.002696170937269926,IP
BB_rate_std,0.0026888467837125063,IP
