player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
hitter,NYY,CWS,Ryan McMahon,641857,8.0,3B,Confirmed,2.72,,,,,0.82,0.11,0.3,0.16,0.15,0.6,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,J.C. Escarra,641555,9.0,C,Confirmed,2.97,,,,,0.81,0.11,0.25,0.12,0.11,0.48,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Chase Meidroth,805367,1.0,2B,Confirmed,3.72,,,,,1.05,0.24,0.83,0.5,0.42,1.74,0.21,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Randal Grichuk,545341,2.0,DH,Confirmed,2.18,,,,,0.78,0.07,0.58,0.33,0.29,1.2,0.14,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Miguel Vargas,678246,3.0,3B,Confirmed,4.16,,,,,1.11,0.31,0.94,0.65,0.65,2.24,0.37,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Colson Montgomery,695657,4.0,SS,Confirmed,4.4,,,,,1.48,0.22,1.0,0.7,0.74,2.44,0.45,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Edgar Quero,700337,5.0,C,Confirmed,3.28,,,,,0.91,0.2,0.69,0.41,0.38,1.48,0.16,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Braden Montgomery,695731,6.0,RF,Confirmed,3.4,,,,,0.92,0.12,0.78,0.39,0.44,1.61,0.19,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,CWS,NYY,Luisangel Acuña,682668,7.0,SS,Confirmed,2.82,,,,,0.77,0.09,0.79,0.38,0.38,1.55,0.17,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,CWS,NYY,Junior Perez,678577,8.0,LF,Confirmed,3.36,,,,,0.92,0.12,0.77,0.38,0.38,1.53,0.19,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,CWS,NYY,Tristan Peters,671976,9.0,CF,Confirmed,3.55,,,,,0.91,0.17,0.88,0.43,0.41,1.72,0.18,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Lane Thomas,657041,1.0,CF,Confirmed,2.39,,,,,1.01,0.32,0.58,0.31,0.21,1.11,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Bobby Witt Jr.,677951,2.0,SS,Confirmed,4.23,,,,,1.09,0.38,1.21,0.6,0.45,2.26,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Jac Caglianone,695506,3.0,1B,Confirmed,3.58,,,,,1.14,0.35,0.71,0.39,0.32,1.42,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Starling Marte,516782,4.0,RF,Confirmed,2.52,,,,,1.01,0.24,0.57,0.27,0.21,1.05,0.0,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
