player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date,proj_hr_allowed,direct_TB,rate_TB,proj_tb
hitter,TB,BOS,Yandy Díaz,650490,1.0,DH,Confirmed,4.19,,,,,0.85,0.25,0.8919928924603711,0.8018972644807637,0.24123832718048688,0.25972069186927443,0.8594917254296397,0.845487463455683,0.04148565468669804,0.03398021605878989,0.85,0.75,0.68,2.51,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.1755873595411535,1.189639273436813,1.18
hitter,TB,BOS,Austin Slater,596103,2.0,LF,Confirmed,2.35,,,,,0.9,0.17,0.8773009894192448,0.9278638383288638,0.17423431433304948,0.15968454573238233,0.22385708210951816,0.15329969904260585,0.004370214427136174,0.006425798731348509,0.19,0.37,0.34,1.34,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.20081485319766917,0.28327171688194563,0.25
hitter,TB,BOS,Junior Caminero,691406,3.0,3B,Confirmed,4.16,,,,,0.93,0.33,1.0356561277551912,0.825413006152308,0.2991699268934624,0.35875377374587863,1.1778699581844831,0.9475644841179062,0.06767570419857367,0.07063120766279628,1.05,0.76,0.79,2.62,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.4838384354003553,1.298030983252814,1.38
hitter,TB,BOS,Ryan Vilade,668723,4.0,RF,Confirmed,3.36,,,,,0.8,0.25,0.8065193074688983,0.7924812630606648,0.24589050233426485,0.24926949275807703,0.5665795861892702,0.5385249753901805,0.02170099353854546,0.018576253677207492,0.55,0.48,0.46,1.73,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.7470326558729685,0.7494603965874826,0.75
hitter,TB,BOS,Jonathan Aranda,666018,5.0,1B,Confirmed,4.01,,,,,1.28,0.29,1.3739574736650417,1.195479566013778,0.33605027103827045,0.23666064970463427,0.6897691663340001,0.6595286870768052,0.045555939775688906,0.03602233060721932,0.67,0.63,0.57,2.21,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.021093813388326,0.9745822592790533,1.0
hitter,TB,BOS,Ben Williamson,810938,6.0,3B,Confirmed,3.3,,,,,0.84,0.18,0.7322224868637767,0.9394631733270585,0.16780756150333515,0.19012513675013304,0.29414949147213754,0.4157469484871675,0.029784391694662335,0.02636760124463332,0.36,0.38,0.42,1.53,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.5060887215909021,0.5257198006809602,0.52
hitter,TB,BOS,Taylor Walls,670764,7.0,SS,Confirmed,3.68,,,,,1.02,0.19,0.9555854459127031,1.0920011196820882,0.18117304798636652,0.19623983029302544,0.6264909398121935,0.605814377055884,0.012321886310858147,0.019877235412465288,0.62,0.48,0.44,1.85,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.8408348592868877,0.8047914579121774,0.82
hitter,TB,BOS,Nick Fortes,663743,8.0,C,Confirmed,3.32,,,,,0.65,0.14,0.5862847616319915,0.71897081603861,0.13650676711246634,0.15156253786542134,0.3717420868254675,0.4318372481327834,0.04353389015198645,0.06131063066406388,0.4,0.39,0.38,1.55,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.5988521098459538,0.683105977155932,0.65
hitter,TB,BOS,Cedric Mullins,656775,9.0,CF,Confirmed,3.88,,,,,0.73,0.23,0.671087023705495,0.7893154177820737,0.21929368596194798,0.2428379621156058,0.7709573482852772,0.7008505604676396,0.031920505312417566,0.02683489563408315,0.73,0.5,0.47,1.97,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.954270897396421,1.0062448043608674,0.98
hitter,BOS,TB,Jarren Duran,680776,1.0,LF,Confirmed,4.27,,,,,1.29,0.3,1.2939140085006429,1.2761623998505403,0.26127586410256465,0.3351794013831511,0.7951116466069439,0.8308617747337309,0.07266856387966018,0.07601880878867481,0.81,0.7,0.64,2.3,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.2490808675419598,1.3073119038656533,1.28
